id,name_datafile,name_resultsfile,region,Voltinism,Voltinism_source,In reanalysis?,Why_excluded
1,Agriades glandon,Agriades glandon,N. America,Not determined,,0,data density
2,Agriades optilete,Vacciniina optilete,Europe,Univoltine,Tshikolovets 2011 (as Plebejus optilete) ,0,data density
3,Amblyscirtes vialis,Amblyscirtes vialis,N. America,Sometimes bivoltine,"Bouseman et al. 2006, Daniels 2004",0,voltinism + data density
4,Anthocharis cardamines,Anthocharis cardamines,Europe,Univoltine,Tshikolovets 2011 (subspecies reports),1,N/A
5,Anthocharis sara,Anthocharis sara,N. America,Sometimes bivoltine,"Shapiro & Manolis 2007, Tilden et al. 1986",0,voltinism + data density
6,Aphantopus hyperantus,Aphantopus hyperantus,Europe,Univoltine,Tshikolovets 2011,1,N/A
7,Aporia crataegi,Aporia crataegi,Europe,Univoltine,Tshikolovets 2011,1,N/A
8,Argynnis aglaja,Argynnis aglaja,Europe,Univoltine,Tshikolovets 2011,1,N/A
9,Argynnis niobe,Argynnis niobe,Europe,Univoltine,Tshikolovets 2011,1,N/A
10,Argynnis paphia,Argynnis paphia,Europe,Univoltine,Tshikolovets 2011,1,N/A
11,Aricia artaxerxes,Aricia artaxerxes,Europe,Univoltine,Tshikolovets 2011 (as Plebejus artaxerxes) ,1,N/A
12,Boloria alaskensis,Boloria alaskensis,N. America,Univoltine,Tilden et al. 1986,0,data density
13,Boloria aquilonaris,Boloria aquilonaris,Europe,Univoltine,Tshikolovets 2011,1,N/A
14,Boloria astarte,Boloria astarte,N. America,Univoltine,Tilden et al. 1986,0,data density
15,Boloria bellona,Boloria bellona,N. America,Multivoltine,Glassberg 1999,0,voltinism + data density
16,Boloria chariclea,Boloria chariclea,N. America,Univoltine,Tilden et al. 1986,0,data density
17,Boloria epithore,Boloria epithore,N. America,Univoltine,Tilden et al. 1986,0,data density
18,Boloria eunomia,Boloria eunomia,Europe,Univoltine,BAMONA 2019,1,N/A
19,Boloria eunomia,Boloria eunomia,N. America,Univoltine,Tilden et al. 1986,0,data density
20,Boloria euphrosyne,Boloria euphrosyne,Europe,Bivoltine,Devarenne 1983,0,voltinism
21,Boloria freija,Boloria freija,N. America,Univoltine,Tilden et al. 1986,0,data density
22,Boloria frigga,Boloria frigga,N. America,Univoltine,Tilden et al. 1986,0,data density
23,Boloria improba,Boloria improba,N. America,Univoltine,Tilden et al. 1986,0,data density
24,Boloria napaea,Boloria napaea,Europe,Univoltine,Tshikolovets 2011,0,data density
25,Boloria selene,,Europe,Bivoltine,Devarenne 1983,0,voltinism
26,Boloria selene,,N. America,Multivoltine,Glassberg 1999,0,voltinism + data density
27,Boloria thore,Boloria thore,Europe,Not determined,,0,data density
28,Brenthis ino,Brenthis ino,Europe,Univoltine,Tshikolovets 2011,1,N/A
29,Callophrys augustinus,Callophrys augustinus,N. America,Univoltine,Tilden et al. 1986,0,data density
30,Callophrys eryphon,Callophrys eryphon,N. America,Univoltine,Tilden et al. 1986,0,data density
31,Callophrys niphon,Callophrys niphon,N. America,Univoltine,Tilden et al. 1986,0,data density
32,Callophrys polios,Callophrys polia,N. America,Univoltine,Tilden et al. 1986,0,data density
33,Callophrys rubi,Callophrys rubi,Europe,Possible bivoltinism in some subsp.,Tshikolovets 2011,0,voltinism
34,Carterocephalus palaemon,Carterocephalus palaemon,Europe,Univoltine,Tshikolovets 2011,1,N/A
35,Carterocephalus palaemon,Carterocephalus palaemon,N. America,Univoltine,Tilden et al. 1986,0,data density
36,Celastrina ladon,Celastrina ladon,N. America,Sometimes bivoltine,Shapiro & Manolis 2007,0,voltinism
37,Coenonympha glycerion,Coenonympha glycerion,Europe,Sometimes bivoltine,Tshikolovets 2011,0,voltinism
38,Coenonympha tullia,Coenonympha tullia,Europe,Univoltine,Tshikolovets 2011,1,N/A
39,Coenonympha tullia,Coenonympha tullia,N. America,Multivoltine,Tilden et al. 1986,0,voltinism
40,Colias canadensis,Colias canadensis,N. America,Univoltine,Tilden et al. 1986,0,data density
41,Colias christina,Colias christina,N. America,Univoltine,Bird 1995,0,data density
42,Colias gigantea,Colias gigantea,N. America,Univoltine,Tilden et al. 1986,0,data density
43,Colias interior,Colias interior,N. America,Univoltine,Tilden et al. 1986,0,data density
44,Colias nastes,Colias nastes,N. America,Univoltine,Tilden et al. 1986,0,data density
45,Colias palaeno,Colias palaeno,Europe,Univoltine,Tshikolovets 2011,1,N/A
46,Colias palaeno,Colias palaeno,N. America,Univoltine,Tilden et al. 1986,0,data density
47,Colias pelidne,Colias pelidne,N. America,Univoltine,Tilden et al. 1986,0,data density
48,Cupido amyntula,,N. America,Univoltine,Glassberg 1999,0,data density
49,Cyaniris semiargus,Cyaniris semiargus,Europe,Not determined,,0,data density
50,Erebia discoidalis,Erebia discoidalis,N. America,Univoltine,Opler 1992,0,data density
51,Erebia epipsodea,Erebia epipsodea,N. America,Univoltine,Opler 1992,0,data density
52,Erebia ligea,Erebia ligea,Europe,"Univoltine, sometimes biennial",Tshikolovets 2011,1,N/A
53,Erebia mancinus,Erebia mancinus,N. America,Univoltine,Tilden et al. 1986,0,data density
54,Erebia pandrose,Erebia pandrose,Europe,Univoltine,Tshikolovets 2011,0,data density
55,Erynnis icelus,Erynnis icelus,N. America,Not determined,,0,data density
56,Erynnis persius,Erynnis persius,N. America,Univoltine,Opler 1992,0,data density
57,Erynnis tages,,Europe,Sometimes bivoltine,Tshikolovets 2011,0,voltinism
58,Euchloe ausonides,Euchloe ausonides,N. America,Univoltine,Opler 1992,0,data density
59,Euchloe creusa,Euchloe creusa,N. America,Univoltine,Tilden et al. 1986,0,data density
60,Eumedonia eumedon,Eumedonia eumedon,Europe,Not determined,,0,data density
61,Euphydryas aurinia,,Europe,Univoltine,Tshikolovets 2011,0,"excluded from Fric et al due to ""late larval nests"""
62,Euphydryas chalcedona,Euphydryas chalcedona,N. America,Univoltine,Tilden et al. 1986,0,data density
63,Euphydryas maturna,Euphydryas maturna,Europe,Univoltine,Tshikolovets 2011,1,N/A
64,Fabriciana adippe,Argynnis adippe,Europe,Univoltine,Tshikolovets 2011 (as Argynnis adippe),1,N/A
65,Glaucopsyche alexis,Glaucopsyche alexis,Europe,Univoltine,Tshikolovets 2011,1,N/A
66,Glaucopsyche lygdamus,Glaucopsyche lygdamus,N. America,Univoltine,Tilden et al. 1986,0,data density
67,Hesperia comma,Hesperia comma,Europe,Univoltine,Tshikolovets 2011,0,data density
68,Hesperia comma,Hesperia comma,N. America,Univoltine,Opler 1992,0,data density
69,Incisalia augustinus,,N. America,Univoltine,Bird 1995,0,data density
70,Lasiommata maera,Lasiommata maera,Europe,Multivoltine,Tshikolovets 2011,0,voltinism + data density
71,Lasiommata petropolitana,Lasiommata petropolitana,Europe,Sometimes bivoltine,Tshikolovets 2011,0,voltinism + data density
72,Lethe eurydice,Satyrodes eurydice,N. America,Univoltine,Opler 1992,0,data density
73,Limenitis archippus,Limenitis archippus,N. America,Multivoltine,Tilden et al. 1986,0,voltinism
74,Limenitis arthemis,Limenitis arthemis,N. America,Bivoltine,Tilden et al. 1986,0,voltinism
75,Limenitis populi,Limenitis populi,Europe,Univoltine,Tshikolovets 2011,1,N/A
76,Lopinga achine,Lopinga achine,Europe,Univoltine,Tshikolovets 2011,0,data density
77,Lycaeides idas,Plebejus idas,N. America,Univoltine,Tilden et al. 1986,0,data density
78,Lycaena dorcas,Lycaena dorcas,N. America,Univoltine,Tilden et al. 1986,0,data density
79,Lycaena hippothoe,Lycaena hippothoe,Europe,Univoltine,Tshikolovets 2011,1,N/A
80,Lycaena mariposa,Lycaena mariposa,N. America,Not determined,,0,data density
81,Lycaena phlaeas,Lycaena phlaeas,N. America,Bivoltine,Opler 1992,0,voltinism + data density
82,Lycaena virgaureae,Lycaena virgaureae,Europe,Univoltine,Tshikolovets 2011,1,N/A
83,Maculinea arion,Phengaris arion,Europe,Univoltine,Devarenne 1983,0,data density
84,Maniola jurtina,Maniola jurtina,Europe,Univoltine,Tshikolovets 2011,1,N/A
85,Melitaea athalia,Melitaea athalia,Europe,Sometimes bivoltine,Tshikolovets 2011,0,voltinism
86,Melitaea diamina,Melitaea diamina,Europe,Sometimes bivoltine,Tshikolovets 2011,0,voltinism + data density
87,Ochlodes sylvanus,Ochlodes sylvanus,Europe,Sometimes bivoltine,Tshikolovets 2011,0,voltinism
88,Oeneis bore,Oeneis bore,N. America,Univoltine,Tilden et al. 1986,0,data density
89,Oeneis chryxus,Oeneis chryxus,N. America,Univoltine,Opler 1992,0,data density
90,Oeneis jutta,Oeneis jutta,N. America,Univoltine,Opler 1992,0,data density
91,Oeneis macounii,Oeneis macounii,N. America,Univoltine,Tilden et al. 1986,0,data density
92,Oeneis melissa,Oeneis melissa,N. America,Univoltine,Opler 1992,0,data density
93,Oeneis polixenes,Oeneis polixenes,N. America,Univoltine,Tilden et al. 1986,0,data density
94,Oeneis uhleri,Oeneis uhleri,N. America,Univoltine,Tilden et al. 1986,0,data density
95,Papilio canadensis,Papilio canadensis,N. America,Univoltine,Opler 1992,0,data density
96,Papilio machaon,Papilio machaon,N. America,Bivoltine,Bird 1995,0,voltinism + data density
97,Parnassius apollo,Parnassius apollo,Europe,Univoltine,Tshikolovets 2011,0,data density
98,Parnassius mnemosyne,Parnassius mnemosyne,Europe,Univoltine,Tshikolovets 2011,0,data density
99,Parnassius smintheus,Parnassius smintheus,N. America,Univoltine,Tilden et al. 1986,0,data density
100,Phengaris arion,Phengaris arion,Europe,Univoltine,Devarenne 1983 (as Maculinea arion),0,data density
101,Phyciodes campestris,Phyciodes pratensis,N. America,Multivoltine,Shapiro & Manolis 2007,0,voltinism + data density
102,Phyciodes tharos,Phyciodes cocyta,N. America,Multivoltine,Daniels 2004,0,voltinism + data density
103,Pieris marginalis,Pieris marginalis,N. America,Bivoltine,Tilden et al. 1986,0,voltinism + data density
104,Plebejus idas,Plebejus idas,N. America,Univoltine,Bird 1995,0,data density
105,Plebejus saepiolus,Icaricia saepiolus,N. America,Univoltine,Glassberg 1999,0,data density
106,Pyrgus alveus,Pyrgus alveus,Europe,Unconfirmed reports of second brood,Tshikolovets 2011,0,data density
107,Pyrgus andromedae,Pyrgus andromedae,Europe,Univoltine,Tshikolovets 2011,0,data density
108,Pyrgus centaureae,Pyrgus centaureae,N. America,Univoltine,Tilden et al. 1986,0,data density
109,Pyrgus malvae,Pyrgus malvae,Europe,Sometimes bivoltine,Tshikolovets 2011,0,voltinism
110,Scolitantides orion,,Europe,Sometimes bivoltine,Tshikolovets 2011,0,voltinism + data density
111,Speyeria hesperis,Speyeria hesperis,N. America,Univoltine,Tilden et al. 1986,0,data density
112,Speyeria mormonia,Speyeria mormonia,N. America,Univoltine,Tilden et al. 1986,0,data density
113,Thorybes pylades,Thorybes pylades,N. America,Bivoltine,Opler 1992,0,voltinism + data density
114,Thymelicus lineola,Thymelicus lineolus,Europe,Univoltine,Tshikolovets 2011,1,N/A
